city,state,county,county_fips
Adak,AK,Aleutians West,2016
Akhiok,AK,Kodiak Island,2150
Akiachak,AK,Bethel,2050
Akiak,AK,Bethel,2050
Akutan,AK,Aleutians East,2013
Alakanuk,AK,Kusilvak,2158
Alatna,AK,Yukon-Koyukuk,2290
Aleknagik,AK,Dillingham,2070
Aleneva,AK,Kodiak Island,2150
Allakaket,AK,Yukon-Koyukuk,2290
Ambler,AK,Northwest Arctic,2188
Anaktuvuk Pass,AK,North Slope,2185
Anchor Point,AK,Kenai Peninsula,2122
Anchorage,AK,Anchorage,2020
Anderson,AK,Denali,2068
Angoon,AK,Hoonah-Angoon,2105
Aniak,AK,Bethel,2050
Anvik,AK,Yukon-Koyukuk,2290
Arctic Village,AK,Yukon-Koyukuk,2290
Atka,AK,Aleutians West,2016
Atmautluak,AK,Bethel,2050
Atqasuk,AK,North Slope,2185
Auke Bay,AK,Juneau,2110
Aurora Lodge,AK,Fairbanks North Star,2090
Badger,AK,Fairbanks North Star,2090
Bear Creek,AK,Kenai Peninsula,2122
Beaver,AK,Yukon-Koyukuk,2290
Beluga,AK,Kenai Peninsula,2122
Bethel,AK,Bethel,2050
Bettles,AK,Yukon-Koyukuk,2290
Big Delta,AK,Southeast Fairbanks,2240
Big Lake,AK,Matanuska-Susitna,2170
Birch Creek,AK,Yukon-Koyukuk,2290
Brevig Mission,AK,Nome,2180
Buckland,AK,Northwest Arctic,2188
Butte,AK,Matanuska-Susitna,2170
Cantwell,AK,Denali,2068
Central,AK,Yukon-Koyukuk,2290
Chalkyitsik,AK,Yukon-Koyukuk,2290
Chase,AK,Matanuska-Susitna,2170
Chefornak,AK,Bethel,2050
Chevak,AK,Kusilvak,2158
Chickaloon,AK,Matanuska-Susitna,2170
Chicken,AK,Southeast Fairbanks,2240
Chignik,AK,Lake and Peninsula,2164
Chignik Lagoon,AK,Lake and Peninsula,2164
Chignik Lake,AK,Lake and Peninsula,2164
Chiniak,AK,Kodiak Island,2150
Chisana,AK,Valdez-Cordova,2261
Chistochina,AK,Valdez-Cordova,2261
Chitina,AK,Valdez-Cordova,2261
Chuathbaluk,AK,Bethel,2050
Chugiak,AK,Anchorage,2020
Circle,AK,Yukon-Koyukuk,2290
Clam Gulch,AK,Kenai Peninsula,2122
Clarks Point,AK,Dillingham,2070
Coffman Cove,AK,Prince of Wales-Hyder,2198
Cohoe,AK,Kenai Peninsula,2122
Cold Bay,AK,Aleutians East,2013
Coldfoot,AK,Yukon-Koyukuk,2290
College,AK,Fairbanks North Star,2090
Colorado,AK,Matanuska-Susitna,2170
Cooper Landing,AK,Kenai Peninsula,2122
Copper Center,AK,Valdez-Cordova,2261
Cordova,AK,Valdez-Cordova,2261
Cottonwood,AK,Matanuska-Susitna,2170
Covenant Life,AK,Haines,2100
Craig,AK,Prince of Wales-Hyder,2198
Crooked Creek,AK,Bethel,2050
Crown Point,AK,Kenai Peninsula,2122
Curry,AK,Matanuska-Susitna,2170
Deadhorse,AK,North Slope,2185
Deering,AK,Northwest Arctic,2188
Delta Junction,AK,Southeast Fairbanks,2240
Denali Park,AK,Denali,2068
Diamond Ridge,AK,Kenai Peninsula,2122
Dillingham,AK,Dillingham,2070
Diomede,AK,Nome,2180
Dot Lake,AK,Southeast Fairbanks,2240
Dot Lake Village,AK,Southeast Fairbanks,2240
Douglas,AK,Juneau,2110
Dry Creek,AK,Southeast Fairbanks,2240
Eagle,AK,Southeast Fairbanks,2240
Eagle River,AK,Anchorage,2020
Eagle Village,AK,Southeast Fairbanks,2240
Edna Bay,AK,Prince of Wales-Hyder,2198
Eek,AK,Bethel,2050
Egegik,AK,Lake and Peninsula,2164
Ekwok,AK,Dillingham,2070
Elfin Cove,AK,Hoonah-Angoon,2105
Elim,AK,Nome,2180
Ellamar,AK,Valdez-Cordova,2261
Emmonak,AK,Kusilvak,2158
Eska,AK,Matanuska-Susitna,2170
Ester,AK,Fairbanks North Star,2090
Eureka Roadhouse,AK,Matanuska-Susitna,2170
Evansville,AK,Yukon-Koyukuk,2290
Excursion Inlet,AK,Haines,2100
Fairbanks,AK,Fairbanks North Star,2090
False Pass,AK,Aleutians East,2013
Ferry,AK,Denali,2068
Flat,AK,Yukon-Koyukuk,2290
Fort Yukon,AK,Yukon-Koyukuk,2290
Fox,AK,Fairbanks North Star,2090
Fox River,AK,Kenai Peninsula,2122
Fritz Creek,AK,Kenai Peninsula,2122
Funny River,AK,Kenai Peninsula,2122
Gakona,AK,Valdez-Cordova,2261
Galena,AK,Yukon-Koyukuk,2290
Gambell,AK,Nome,2180
Game Creek,AK,Hoonah-Angoon,2105
Gateway,AK,Matanuska-Susitna,2170
Girdwood,AK,Anchorage,2020
Glennallen,AK,Valdez-Cordova,2261
Golovin,AK,Nome,2180
Goodnews Bay,AK,Bethel,2050
Grayling,AK,Yukon-Koyukuk,2290
Gulkana,AK,Valdez-Cordova,2261
Gustavus,AK,Hoonah-Angoon,2105
Haines,AK,Haines,2100
Halibut Cove,AK,Kenai Peninsula,2122
Happy Valley,AK,Kenai Peninsula,2122
Healy,AK,Denali,2068
Healy Lake,AK,Southeast Fairbanks,2240
Hobart Bay,AK,Petersburg Borough,2195
Hollis,AK,Prince of Wales-Hyder,2198
Holy Cross,AK,Yukon-Koyukuk,2290
Homer,AK,Kenai Peninsula,2122
Hoonah,AK,Hoonah-Angoon,2105
Hooper Bay,AK,Kusilvak,2158
Hope,AK,Kenai Peninsula,2122
Houston,AK,Matanuska-Susitna,2170
Hughes,AK,Yukon-Koyukuk,2290
Huslia,AK,Yukon-Koyukuk,2290
Hydaburg,AK,Prince of Wales-Hyder,2198
Hyder,AK,Prince of Wales-Hyder,2198
Igiugig,AK,Lake and Peninsula,2164
Iliamna,AK,Lake and Peninsula,2164
Ivanof Bay,AK,Lake and Peninsula,2164
Jonesville,AK,Matanuska-Susitna,2170
Juneau,AK,Juneau,2110
Kachemak City,AK,Kenai Peninsula,2122
Kake,AK,Prince of Wales-Hyder,2198
Kaktovik,AK,North Slope,2185
Kalifornsky,AK,Kenai Peninsula,2122
Kalskag,AK,Bethel,2050
Kaltag,AK,Yukon-Koyukuk,2290
Karluk,AK,Kodiak Island,2150
Kasaan,AK,Prince of Wales-Hyder,2198
Kasigluk,AK,Bethel,2050
Kasilof,AK,Kenai Peninsula,2122
Kenai,AK,Kenai Peninsula,2122
Kenny Lake,AK,Valdez-Cordova,2261
Ketchikan,AK,Ketchikan Gateway,2130
Kiana,AK,Northwest Arctic,2188
King Cove,AK,Aleutians East,2013
King Salmon,AK,Bristol Bay,2060
Kipnuk,AK,Bethel,2050
Kivalina,AK,Northwest Arctic,2188
Klawock,AK,Prince of Wales-Hyder,2198
Klukwan,AK,Hoonah-Angoon,2105
Knik,AK,Matanuska-Susitna,2170
Kobuk,AK,Northwest Arctic,2188
Kodiak,AK,Kodiak Island,2150
Kokhanok,AK,Lake and Peninsula,2164
Koliganek,AK,Dillingham,2070
Kongiganak,AK,Bethel,2050
Kotlik,AK,Kusilvak,2158
Kotzebue,AK,Northwest Arctic,2188
Koyuk,AK,Nome,2180
Koyukuk,AK,Yukon-Koyukuk,2290
Kupreanof,AK,Petersburg Borough,2195
Kwethluk,AK,Bethel,2050
Kwigillingok,AK,Bethel,2050
Lake Louise,AK,Matanuska-Susitna,2170
Lake Minchumina,AK,Yukon-Koyukuk,2290
Larsen Bay,AK,Kodiak Island,2150
Lazy Mountain,AK,Matanuska-Susitna,2170
Lemeta,AK,Fairbanks North Star,2090
Levelock,AK,Lake and Peninsula,2164
Libbyville,AK,Bristol Bay,2060
Lignite,AK,Denali,2068
Lime Village,AK,Bethel,2050
Livengood,AK,Yukon-Koyukuk,2290
Loring,AK,Ketchikan Gateway,2130
Lowell Point,AK,Kenai Peninsula,2122
Lower Kalskag,AK,Bethel,2050
Lower Tonsina,AK,Valdez-Cordova,2261
Lutak,AK,Haines,2100
Manley Hot Springs,AK,Yukon-Koyukuk,2290
Manokotak,AK,Dillingham,2070
Marshall,AK,Kusilvak,2158
Matanuska,AK,Matanuska-Susitna,2170
McCarthy,AK,Valdez-Cordova,2261
McGrath,AK,Yukon-Koyukuk,2290
Meadow Lakes,AK,Matanuska-Susitna,2170
Mekoryuk,AK,Bethel,2050
Mendeltna,AK,Valdez-Cordova,2261
Mentasta Lake,AK,Valdez-Cordova,2261
Metlakatla,AK,Prince of Wales-Hyder,2198
Meyers Chuck,AK,Wrangell,2275
Millers Landing,AK,Kenai Peninsula,2122
Minto,AK,Yukon-Koyukuk,2290
Montana,AK,Matanuska-Susitna,2170
Moose Creek,AK,Fairbanks North Star,2090
Moose Pass,AK,Kenai Peninsula,2122
Mosquito Lake,AK,Haines,2100
Mountain Village,AK,Kusilvak,2158
Mud Bay,AK,Haines,2100
Nabesna,AK,Valdez-Cordova,2261
Naknek,AK,Bristol Bay,2060
Nanwalek,AK,Kenai Peninsula,2122
Napakiak,AK,Bethel,2050
Napaskiak,AK,Bethel,2050
Naukati Bay,AK,Prince of Wales-Hyder,2198
Nelchina,AK,Valdez-Cordova,2261
Nelson Lagoon,AK,Aleutians East,2013
Nenana,AK,Yukon-Koyukuk,2290
New Allakaket,AK,Yukon-Koyukuk,2290
New Stuyahok,AK,Dillingham,2070
Newhalen,AK,Lake and Peninsula,2164
Newtok,AK,Bethel,2050
Nightmute,AK,Bethel,2050
Nikiski,AK,Kenai Peninsula,2122
Nikolaevsk,AK,Kenai Peninsula,2122
Nikolai,AK,Yukon-Koyukuk,2290
Nikolski,AK,Aleutians West,2016
Ninilchik,AK,Kenai Peninsula,2122
Noatak,AK,Northwest Arctic,2188
Nome,AK,Nome,2180
Nondalton,AK,Lake and Peninsula,2164
Noorvik,AK,Northwest Arctic,2188
North Pole,AK,Fairbanks North Star,2090
Northway,AK,Southeast Fairbanks,2240
Northway Junction,AK,Southeast Fairbanks,2240
Northway Village,AK,Southeast Fairbanks,2240
Nuiqsut,AK,North Slope,2185
Nulato,AK,Yukon-Koyukuk,2290
Nunaka Valley,AK,Anchorage,2020
Nunam Iqua,AK,Kusilvak,2158
Nunapitchuk,AK,Bethel,2050
Old Harbor,AK,Kodiak Island,2150
Olnes,AK,Fairbanks North Star,2090
Oscarville,AK,Bethel,2050
Ouzinkie,AK,Kodiak Island,2150
Palmer,AK,Matanuska-Susitna,2170
Paxson,AK,Valdez-Cordova,2261
Pedro Bay,AK,Lake and Peninsula,2164
Pelican,AK,Hoonah-Angoon,2105
Perryville,AK,Lake and Peninsula,2164
Petersburg,AK,Petersburg Borough,2195
Petersville,AK,Matanuska-Susitna,2170
Pilot Point,AK,Lake and Peninsula,2164
Pilot Station,AK,Kusilvak,2158
Pitkas Point,AK,Kusilvak,2158
Platinum,AK,Bethel,2050
Pleasant Valley,AK,Fairbanks North Star,2090
Point Baker,AK,Prince of Wales-Hyder,2198
Point Hope,AK,North Slope,2185
Point Lay,AK,North Slope,2185
Point MacKenzie,AK,Matanuska-Susitna,2170
Port Alexander,AK,Prince of Wales-Hyder,2198
Port Alsworth,AK,Lake and Peninsula,2164
Port Chilkoot,AK,Haines,2100
Port Clarence,AK,Nome,2180
Port Graham,AK,Kenai Peninsula,2122
Port Heiden,AK,Lake and Peninsula,2164
Port Lions,AK,Kodiak Island,2150
Port Protection,AK,Prince of Wales-Hyder,2198
Portage Creek,AK,Dillingham,2070
Prudhoe Bay,AK,North Slope,2185
Quinhagak,AK,Bethel,2050
Rampart,AK,Yukon-Koyukuk,2290
Red Devil,AK,Bethel,2050
Red Dog Mine,AK,Northwest Arctic,2188
Ridgeway,AK,Kenai Peninsula,2122
Ruby,AK,Yukon-Koyukuk,2290
Russian Mission,AK,Kusilvak,2158
Saint George,AK,Aleutians West,2016
Saint Marys,AK,Kusilvak,2158
Saint Michael,AK,Nome,2180
Saint Paul,AK,Aleutians West,2016
Salamatof,AK,Kenai Peninsula,2122
Sand Point,AK,Aleutians East,2013
Savoonga,AK,Nome,2180
Saxman,AK,Ketchikan Gateway,2130
Scammon Bay,AK,Kusilvak,2158
Selawik,AK,Northwest Arctic,2188
Seldovia,AK,Kenai Peninsula,2122
Seldovia Village,AK,Kenai Peninsula,2122
Seward,AK,Kenai Peninsula,2122
Shageluk,AK,Yukon-Koyukuk,2290
Shaktoolik,AK,Nome,2180
Shishmaref,AK,Nome,2180
Shungnak,AK,Northwest Arctic,2188
Sitka,AK,Sitka,2220
Skagway,AK,Skagway,2230
Skwentna,AK,Matanuska-Susitna,2170
Slana,AK,Valdez-Cordova,2261
Sleetmute,AK,Bethel,2050
Soldotna,AK,Kenai Peninsula,2122
South Naknek,AK,Bristol Bay,2060
Spenard,AK,Anchorage,2020
Stebbins,AK,Nome,2180
Sterling,AK,Kenai Peninsula,2122
Stevens Village,AK,Yukon-Koyukuk,2290
Stony River,AK,Bethel,2050
