,How,Match,Org
0,None,None,Naval Air Systems Command
4,None,None,Navy
5,None,None,Government Contract No 11C0042
6,None,None,Carter Technologies Co
9,None,None,Future Internet That Supports Trustworthy Cloud Computing
10,None,None,Office of Biological
12,None,None,Department of the NavyNaval Air Systems Command
13,None,None,Nfs
15,None,None,Ministry of Defense
16,None,None,Muri
17,None,None,Alliance for Sustainable Energy
25,None,None,Air Force Office of Scientific ResearchDod
27,None,None,Iavts
30,None,None,Army Contract No
31,None,None,Cooperative Research and Development Agreement
34,None,None,Hellenic National Strategic Reference Framework
36,None,None,Armed Forces Institute of Regenerative Medicine
37,None,None,Aoard
38,None,None,Niddk
39,None,None,Psychoactive Drug Screening Program
41,None,None,Department
42,None,None,ContractGrant Nos
45,None,None,Nigms
46,None,None,ArmyMedical Research
49,None,None,Boston Probes Inc
52,None,None,Damd
54,None,None,Government Program Intention Aware Vehicle Tracking and Traffic Management System
56,None,None,Structural Biology Center
58,None,None,Niosh
62,None,None,Ncrr
63,None,None,Methods of Treating
65,None,None,Grant Numbers
67,None,None,Grant Number U01 Ai63589
75,None,None,National Center for Research Resources
77,None,None,Conrad
82,None,None,Netl
83,None,None,Federal Grant No
85,None,None,Air Force Office of Scientific Research and Grant
88,None,None,Grant Number Cmmi1152550
89,None,None,Los Alamos National Security
91,None,None,KlaTencor
93,None,None,Sequence Listing
95,None,None,Darpa Dso
96,None,None,Eunice Kennedy Shriver National Institute of Child Health and Human Development
97,None,None,Exhaust Energy Recovery
98,None,None,NavyNaval Air Systems Command
99,None,None,Contract Number W911Qx12C0039
101,None,None,Invention
102,None,None,Eastern Virginia Medical School
104,None,None,Grl
105,None,None,Melinda Gates Foundation
109,None,None,Ventions
110,None,None,Grant Numbers 2
112,None,None,National Institute
113,None,None,the Air Force Office of Scientific Research
114,None,None,Army Medical Research Material and Command
115,None,None,Dream
116,None,None,Air Force Summer Facility Fellowship
117,None,None,State of California
118,None,None,Trusted Integrated Chips
122,None,None,National Human Genome Research Institute
123,None,None,Northeast Sun Grant Initiative
124,None,None,Us Air Force Office of Scientific Research
125,None,None,Grant No
126,None,None,Grant Number Ca109604
129,None,None,Iis
131,None,None,Office of Biological and Environmental Research
133,None,None,Nlm
135,None,None,Nida Grant Nos
137,None,None,Award Number Hrd0833093
140,None,None,Ag
142,None,None,Cooperative Agreement DeFc3608Go18080
143,None,None,Grant Number Ns046769
146,None,None,Management of Dengue Vector Aedes
149,None,None,Aatd
152,None,None,Federal Contract
153,None,None,National
154,None,None,Drug Administration
156,None,None,Advanced Research Projects AdministrationEnergy
158,None,None,United Kingdom Government
159,None,None,Nci Dendritic Cell Immunotherapy of Malignant Glioma
160,None,None,the Defense Advanced Research Projects Agency
162,None,None,Afosr Muri
163,None,None,Naval Air Warfare Center
165,None,None,University of Iowa
167,None,None,Niddr
168,None,None,Grant Nos
169,None,None,Government for Government
170,None,None,Us Department
172,None,None,Work Unit
174,None,None,National Geospatial Intelligence Agency
175,None,None,Federal Contract No
177,None,None,Nstip
178,None,None,Biochemical Studies of Lpxc Inhibition
179,None,None,Wavelength Optimization for Underwater FreeSpace Optical Communications
181,None,None,Hellenic Funds
182,None,None,Sbir Phase Ii
184,None,None,Army Aviation Development Directorate
187,None,None,DeAc
189,None,None,Office of Science
190,None,None,Strategic Partnership Projects
191,None,None,Hellenic Technology Clusters
193,None,None,Grant Number
195,None,None,Kentucky Cabinet for Economic Development Department of Commercialization and Innovation
197,None,None,Nc 1091
198,None,None,Fermi Research Alliance
204,None,None,Mlb
205,None,None,Office of Naval Research Sbir
209,None,None,Rearward Emitting Tracer Ammunition
210,None,None,Grant Numbers Dmr0820341
211,None,None,Army Medical Research and Materiel Command
212,None,None,Naval Surface Warfare Center Port Hueneme
215,None,None,Rdecom
216,None,None,Government Contract No 13C0048
218,None,None,UtBattelle
219,None,None,National Institutes of Heath
220,None,None,Advanced Photon Source
223,None,None,the National Institute for Health
224,None,None,Hel Jto
225,None,None,Llns
232,None,None,Research Facilities Improvement Program
233,None,None,Air Force Rome Laboratories
236,None,None,Natick Contracting Divison
237,None,None,Stc
238,None,None,Grant Number Eia0324864
239,None,None,Iarpa
240,None,None,University of Chicago
241,None,None,Alternative Medicine
242,None,None,Grant Number Hl061322
243,None,None,Congressionally Directed Medical Research Program
245,None,None,Eec
247,None,None,Other ContainerBreeding Mosquitoes
248,None,None,Mke
