Field_number,Sector_en,Sector_fr,Sector_es,Field_en,Field_fr,Field_es,IPC_code,Updated_on,Remark
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21H%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21K%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21L%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21S%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21V%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21W%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",F21Y%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01B%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01C%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01F%,,
1,Electrical engineering,Electrotechnique,Electricidad - Electronica,"Electrical machinery, apparatus, energy","Machines, appareils et energie electriques","Aparatos electronicos, ingenieria electronica, energia electrica",H01G%,,
