"`patent`.`patent_assignee`","`PatentsView`.`temp_id_mapping_assignee`"
"`PatentsView`.`temp_id_mapping_assignee`","`PatentsView`.`patent_assignee`"
"`PatentsView`.`temp_id_mapping_assignee`","`PatentsView`.`location_assignee`"
"`PatentsView`.`temp_id_mapping_assignee`","`PatentsView`.`assignee`"
"`patent`.`patent_inventor`","`PatentsView`.`temp_id_mapping_inventor`"
"`PatentsView`.`temp_id_mapping_inventor`","`PatentsView`.`patent_inventor`"
"`PatentsView`.`temp_id_mapping_inventor`","`PatentsView`.`location_inventor`"
"`PatentsView`.`temp_id_mapping_inventor`","`PatentsView`.`inventor`"
"`patent`.`patent_lawyer`","`PatentsView`.`temp_id_mapping_lawyer`"
"`PatentsView`.`temp_id_mapping_lawyer`","`PatentsView`.`patent_lawyer`"
"`PatentsView`.`temp_id_mapping_lawyer`","`PatentsView`.`lawyer`"
"`patent`.`rawexaminer`","`PatentsView`.`temp_id_mapping_examiner`"
"`PatentsView`.`temp_id_mapping_examiner`","`PatentsView`.`patent_examiner`"
"`PatentsView`.`temp_id_mapping_examiner`","`PatentsView`.`examiner`"
"`patent`.`rawlocation`","`PatentsView`.`temp_id_mapping_location_transformed`"
"`PatentsView`.`temp_id_mapping_location_transformed`","`PatentsView`.`location`"
"`PatentsView`.`temp_id_mapping_location_transformed`","`PatentsView`.`location_assignee`"
"`PatentsView`.`temp_id_mapping_location_transformed`","`PatentsView`.`location_inventor`"
"`patent`.`rawlocation`","`PatentsView`.`temp_id_mapping_location`"
"`PatentsView`.`temp_id_mapping_location_transformed`","`PatentsView`.`temp_id_mapping_location`"
"`PatentsView`.`temp_id_mapping_location`","`PatentsView`.`location`"
"`PatentsView`.`temp_id_mapping_location`","`PatentsView`.`patent_assignee`"
"`PatentsView`.`temp_id_mapping_location`","`PatentsView`.`patent_inventor`"
"`patent`.`rawlocation`","`PatentsView`.`temp_patent_firstnamed_assignee`"
"`patent`.`rawassignee`","`PatentsView`.`temp_patent_firstnamed_assignee`"
"`patent`.`location`","`PatentsView`.`temp_patent_firstnamed_assignee`"
"`PatentsView`.`temp_id_mapping_assignee`","`PatentsView`.`temp_patent_firstnamed_assignee`"
"`PatentsView`.`temp_id_mapping_location_transformed`","`PatentsView`.`temp_patent_firstnamed_assignee`"
"`PatentsView`.`temp_patent_firstnamed_assignee`","`PatentsView`.`patent`"
"`patent`.`rawlocation`","`PatentsView`.`temp_patent_firstnamed_inventor`"
"`patent`.`rawinventor`","`PatentsView`.`temp_patent_firstnamed_inventor`"
"`patent`.`location`","`PatentsView`.`temp_patent_firstnamed_inventor`"
"`PatentsView`.`temp_id_mapping_assignee`","`PatentsView`.`temp_patent_firstnamed_inventor`"
"`PatentsView`.`temp_id_mapping_location_transformed`","`PatentsView`.`temp_patent_firstnamed_inventor`"
"`PatentsView`.`temp_patent_firstnamed_inventor`","`PatentsView`.`patent`"
"`patent`.`foreigncitation`","`PatentsView`.`temp_num_foreign_documents_cited`"
"`patent`.`usapplicationcitation`","`PatentsView`.`temp_num_us_applications_cited`"
